Vegetable,Talent,Audience_Laughs,Won_Prize
Zucchini,Juggling,54,Yes
Carrot,Juggling,84,No
Zucchini,Tap Dancing,98,No
Potato,Singing,51,No
Broccoli,Juggling,91,No
Potato,Tap Dancing,89,Yes
Broccoli,Miming,55,Yes
Zucchini,Karate,29,Yes
Broccoli,Tap Dancing,22,No
Carrot,Karate,63,Yes
Radish,Singing,25,No
Potato,Karate,17,No
Potato,Miming,17,Yes
Carrot,Juggling,27,Yes
Radish,Miming,69,No
Carrot,Juggling,64,Yes
Radish,Juggling,3,No
Carrot,Singing,48,No
Carrot,Singing,97,No
Radish,Karate,10,Yes
Carrot,Singing,78,No
Potato,Miming,85,Yes
Carrot,Singing,12,Yes
Potato,Karate,93,Yes
Broccoli,Karate,62,No
Potato,Miming,0,Yes
Radish,Karate,27,No
Radish,Karate,74,Yes
Radish,Karate,82,No
Carrot,Miming,22,No
