ID,Timestamp,Are you interested in attending QuACK?,How much comfort/experience have you had with R roughly? (4 is I've used R but I could learn more),Do you have experience with coding in general?,"If you know other coding languages, which ones do you know?",Are there any particular skills or tools you'd like to practice/learn in R that you're hoping to receive some help with this semester?,Which lab are you joining/part of?,What year of college are you in?,Which month were you born in?,What is your favorite season?,"What, in your opinion, is the ideal temperature (Fahrenheit)?",How many pets have you had in your lifetime?,Is there a correct answer to this question?,Are hotdogs sandwiches?,Rate this bear on a scale from 1-7
1,2026/06/01 4:57:15 PM MDT,Yes,5,7,"Python, java",I hope to learn more about data visualization with R!,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Senior,October,Spring,77,1,No,Yes,4
2,2026/06/01 5:07:34 PM MDT,Yes,4,4,,I honestly forgot everything I learned in undergrad and would just appreciate anything you have to share!,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Other,November,Summer,75 degrees,too many to count,No,No,1
3,2026/06/01 5:56:13 PM MDT,Yes,6,9,"Python, JavaScript (used in web design)",,Cognitive Development and Learning Lab (PI: Alison Gopnik),Junior,October,Summer,56,0,No,No,1
4,2026/06/01 5:58:01 PM MDT,Yes,3,7,I've used SPSS.,I would love to learn how to visualize stats in different ways through graphs and other visual tools. ,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Senior,March,Summer,73,4,No,No,6
5,2026/06/01 7:38:41 PM MDT,Yes,,2,,I am hoping to just become more familiar with this form of coding and hopefully that it can help me understand more statistical data in psychological articles!,Social Origins Lab (PI: Jan Engelmann),Senior,April,Fall,69,3,Yes,No,1
6,2026/06/01 7:38:52 PM MDT,Yes,1,1,,,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Other,January,Fall,67,4,Yes,No,3
7,2026/06/01 7:48:22 PM MDT,Yes,2,3,python,definitely would love to more data visualization!,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Sophomore,March,Fall,yes!,1,No,No,7
8,2026/06/01 8:29:09 PM MDT,Yes,6,9,,,Social Origins Lab (PI: Jan Engelmann),Senior,December,Summer,75,3,No,No,5
9,2026/06/01 9:15:51 PM MDT,Yes,1,1,,"Since I'm coming in with zero experience, I am interested in all of the practical skills needed for collecting and analyzing data gathered during psych labs!",UC DREAMS Lab ,Junior,November,Spring,70,5,No,No,6
10,2026/06/02 12:30:33 PM MDT,Yes,1,1,,"I would love a introduction to R and skills that are useful for the field today, and problems that may be worked through in intro to R/ stats classes. ",Cognitive Development and Learning Lab (PI: Alison Gopnik),Sophomore,September,Spring,75,3,Yes,No,7
11,2026/06/02 12:33:12 PM MDT,Yes,2,3,SPSS,"How to use R to analyze actual data, and how to interpret it",Cognitive Development and Learning Lab (PI: Alison Gopnik),Senior,May,Summer,75,8 fish ,Yes,Yes,2
12,2026/06/02 12:38:32 PM MDT,Yes,1,1,,Data Analysis and making different types of graphs/visuals!,Cognitive Development and Learning Lab (PI: Alison Gopnik),Junior,March,Fall,70 or 68,"2 dogs 1 fish, 27 chickens (not sure if that counts haha)",Yes,Yes,4
13,2026/06/02 2:52:27 PM MDT,Yes,1,6,Python,"I would like to strengthen my ability to use R for data cleaning, statistical analysis, and data visualization, particularly for psychology research.",Cognitive Development and Learning Lab (PI: Alison Gopnik),Senior,July,Summer,75,1,No,No,4
14,2026/06/03 10:38:39 AM MDT,Yes,3,2,,,UC DREAMS Lab,Junior,September,Summer,80,3,No,Yes,5
15,2026/06/03 1:29:37 PM MDT,Maybe,5,5,A bit of python,Data visualization! ,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Senior,February,Fall,58,11 mammals and a lot of fish,Yes,Yes,2
16,2026/06/03 2:19:29 PM MDT,Yes,4,9,"python, java, javascript, c, c++, html, css",,Berkeley Early Learning Lab (PI: Fei Xu),Senior,June,Summer,72,3,No,Yes,1
17,2026/06/03 6:27:41 PM MDT,Yes,5,6,N/A,"I'd really like to learn more about tips and tricks to made the graphs produced in R look more visually pleasing, and also learn about multiple strategies to analyze a single dataset :)",UC Dreams Lab (PI: Ariadne Eason) but working under Victoria Keating,Senior,June,Summer,71 Degrees Fahrenheit,2!,No,No,6
18,2026/06/03 6:59:26 PM MDT,Yes,2,2,Some python,Not particularly,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Senior,December,Fall,65-70,A few,Yes,Yes,2
