ID,Timestamp,Interest,ExperienceR,ExperienceOther,Lab,Year,BirthMonth,Season,FavTemp,Pets,CorrectAnswer,Hotdogs,Bear
1,2026/06/01 4:57:15 PM MDT,Yes,5,7,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Senior,October,Spring,77,1,No,Yes,4
3,2026/06/01 5:56:13 PM MDT,Yes,6,9,Cognitive Development and Learning Lab (PI: Alison Gopnik),Junior,October,Summer,56,0,No,No,1
4,2026/06/01 5:58:01 PM MDT,Yes,3,7,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Senior,March,Summer,73,4,No,No,6
7,2026/06/01 7:48:22 PM MDT,Yes,2,3,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Sophomore,March,Fall,yes!,1,No,No,7
8,2026/06/01 8:29:09 PM MDT,Yes,6,9,Social Origins Lab (PI: Jan Engelmann),Senior,December,Summer,75,3,No,No,5
9,2026/06/01 9:15:51 PM MDT,Yes,1,1,UC DREAMS Lab,Junior,November,Spring,70,5,No,No,6
10,2026/06/02 12:30:33 PM MDT,Yes,1,1,Cognitive Development and Learning Lab (PI: Alison Gopnik),Sophomore,September,Spring,75,3,Yes,No,7
11,2026/06/02 12:33:12 PM MDT,Yes,2,3,Cognitive Development and Learning Lab (PI: Alison Gopnik),Senior,May,Summer,75,8,Yes,Yes,2
12,2026/06/02 12:38:32 PM MDT,Yes,1,1,Cognitive Development and Learning Lab (PI: Alison Gopnik),Junior,March,Fall,70 or 68,30,Yes,Yes,4
13,2026/06/02 2:52:27 PM MDT,Yes,1,6,Cognitive Development and Learning Lab (PI: Alison Gopnik),Senior,July,Summer,75,1,No,No,4
14,2026/06/03 10:38:39 AM MDT,Yes,3,2,UC DREAMS Lab,Junior,September,Summer,80,3,No,Yes,5
16,2026/06/03 2:19:29 PM MDT,Yes,4,9,Berkeley Early Learning Lab (PI: Fei Xu),Senior,June,Summer,72,3,No,Yes,1
17,2026/06/03 6:27:41 PM MDT,Yes,5,6,UC Dreams Lab (PI: Ariadne Eason) but working under Victoria Keating,Senior,June,Summer,71 Degrees Fahrenheit,2,No,No,6
18,2026/06/03 6:59:26 PM MDT,Yes,2,2,Language and Cognitive Development Lab (PI: Mahesh Srinivasan),Senior,December,Fall,65-70,3,Yes,Yes,2
