"pid","grade","condition","totalDuration","Q.score","item","response","answer","accuracy"
61122,"6",NA,384,"23","item7",4,4,1
61122,"6",NA,384,"23","item8",4,4,1
61122,"6",NA,384,"23","item9",1,1,1
61122,"6",NA,384,"23","item10",3,3,1
61122,"6",NA,384,"23","item11",2,2,1
61122,"6",NA,384,"23","item12",5,5,1
61122,"6",NA,384,"23","item13",4,4,1
61122,"6",NA,384,"23","item14",1,1,1
61122,"6",NA,384,"23","item15",1,1,1
61122,"6",NA,384,"23","item16",4,2,0
61122,"6",NA,384,"23","item17",5,5,1
61122,"6",NA,384,"23","item18",4,4,1
61122,"6",NA,384,"23","item19",2,2,1
61122,"6",NA,384,"23","item20",4,4,1
61122,"6",NA,384,"23","item21",4,3,0
61122,"6",NA,384,"23","item22",3,3,1
61122,"6",NA,384,"23","item23",5,5,1
61122,"6",NA,384,"23","item24",0,4,0
61122,"6",NA,384,"23","item25",3,3,1
61122,"6",NA,384,"23","item26",1,1,1
61122,"6",NA,384,"23","item27",2,2,1
61122,"6",NA,384,"23","item28",1,1,1
61122,"6",NA,384,"23","item29",2,2,1
61122,"6",NA,384,"23","item30",2,2,1
61122,"6",NA,384,"23","item31",5,5,1
61122,"6",NA,384,"23","item32",2,4,0
61122,"6",NA,384,"23","item33",0,3,0
61122,"6",NA,384,"23","item34",4,1,0
61122,"6",NA,384,"23","item35",0,5,0
61121,"6",NA,616,"16","item7",4,4,1
61121,"6",NA,616,"16","item8",4,4,1
61121,"6",NA,616,"16","item9",1,1,1
61121,"6",NA,616,"16","item10",3,3,1
61121,"6",NA,616,"16","item11",2,2,1
61121,"6",NA,616,"16","item12",5,5,1
61121,"6",NA,616,"16","item13",4,4,1
61121,"6",NA,616,"16","item14",1,1,1
61121,"6",NA,616,"16","item15",1,1,1
61121,"6",NA,616,"16","item16",2,2,1
61121,"6",NA,616,"16","item17",5,5,1
61121,"6",NA,616,"16","item18",4,4,1
61121,"6",NA,616,"16","item19",5,2,0
61121,"6",NA,616,"16","item20",4,4,1
61121,"6",NA,616,"16","item21",3,3,1
61121,"6",NA,616,"16","item22",3,3,1
61121,"6",NA,616,"16","item23",4,5,0
61121,"6",NA,616,"16","item24",3,4,0
61121,"6",NA,616,"16","item25",5,3,0
61121,"6",NA,616,"16","item26",4,1,0
61127,"6",NA,365,"15","item7",4,4,1
61127,"6",NA,365,"15","item8",4,4,1
61127,"6",NA,365,"15","item9",1,1,1
61127,"6",NA,365,"15","item10",3,3,1
61127,"6",NA,365,"15","item11",2,2,1
61127,"6",NA,365,"15","item12",5,5,1
61127,"6",NA,365,"15","item13",4,4,1
61127,"6",NA,365,"15","item14",1,1,1
61127,"6",NA,365,"15","item15",1,1,1
61127,"6",NA,365,"15","item16",0,2,0
61127,"6",NA,365,"15","item17",5,5,1
61127,"6",NA,365,"15","item18",4,4,1
61127,"6",NA,365,"15","item19",2,2,1
61127,"6",NA,365,"15","item20",1,4,0
61127,"6",NA,365,"15","item21",3,3,1
61127,"6",NA,365,"15","item22",3,3,1
61127,"6",NA,365,"15","item23",0,5,0
61127,"6",NA,365,"15","item24",0,4,0
61127,"6",NA,365,"15","item25",0,3,0
61127,"6",NA,365,"15","item26",0,1,0
61126,"6",NA,376,"17","item7",4,4,1
61126,"6",NA,376,"17","item8",4,4,1
61126,"6",NA,376,"17","item9",1,1,1
61126,"6",NA,376,"17","item10",3,3,1
61126,"6",NA,376,"17","item11",2,2,1
61126,"6",NA,376,"17","item12",5,5,1
61126,"6",NA,376,"17","item13",4,4,1
61126,"6",NA,376,"17","item14",1,1,1
61126,"6",NA,376,"17","item15",1,1,1
61126,"6",NA,376,"17","item16",2,2,1
61126,"6",NA,376,"17","item17",5,5,1
61126,"6",NA,376,"17","item18",4,4,1
61126,"6",NA,376,"17","item19",2,2,1
61126,"6",NA,376,"17","item20",4,4,1
61126,"6",NA,376,"17","item21",3,3,1
61126,"6",NA,376,"17","item22",3,3,1
61126,"6",NA,376,"17","item23",0,5,0
61126,"6",NA,376,"17","item24",0,4,0
61126,"6",NA,376,"17","item25",2,3,0
61126,"6",NA,376,"17","item26",0,1,0
61214,"6",NA,225,"18","item7",4,4,1
61214,"6",NA,225,"18","item8",4,4,1
61214,"6",NA,225,"18","item9",1,1,1
61214,"6",NA,225,"18","item10",3,3,1
61214,"6",NA,225,"18","item11",2,2,1
61214,"6",NA,225,"18","item12",5,5,1
61214,"6",NA,225,"18","item13",4,4,1
61214,"6",NA,225,"18","item14",1,1,1
61214,"6",NA,225,"18","item15",1,1,1
61214,"6",NA,225,"18","item16",2,2,1
61214,"6",NA,225,"18","item17",5,5,1
61214,"6",NA,225,"18","item18",4,4,1
61214,"6",NA,225,"18","item19",2,2,1
61214,"6",NA,225,"18","item20",4,4,1
61214,"6",NA,225,"18","item21",3,3,1
61214,"6",NA,225,"18","item22",3,3,1
61214,"6",NA,225,"18","item23",5,5,1
61214,"6",NA,225,"18","item24",3,4,0
61214,"6",NA,225,"18","item25",0,3,0
61214,"6",NA,225,"18","item26",0,1,0
61214,"6",NA,225,"18","item27",4,2,0
61208,"6",NA,174,"13","item7",4,4,1
61208,"6",NA,174,"13","item8",4,4,1
61208,"6",NA,174,"13","item9",1,1,1
61208,"6",NA,174,"13","item10",3,3,1
61208,"6",NA,174,"13","item11",2,2,1
61208,"6",NA,174,"13","item12",5,5,1
61208,"6",NA,174,"13","item13",4,4,1
61208,"6",NA,174,"13","item14",1,1,1
61208,"6",NA,174,"13","item15",1,1,1
61208,"6",NA,174,"13","item16",2,2,1
61208,"6",NA,174,"13","item17",2,5,0
61208,"6",NA,174,"13","item18",4,4,1
61208,"6",NA,174,"13","item19",2,2,1
61208,"6",NA,174,"13","item20",2,4,0
61208,"6",NA,174,"13","item21",1,3,0
61208,"6",NA,174,"13","item22",5,3,0
61208,"6",NA,174,"13","item23",0,5,0
61230,"6",NA,305,"12","item7",4,4,1
61230,"6",NA,305,"12","item8",4,4,1
61230,"6",NA,305,"12","item9",1,1,1
61230,"6",NA,305,"12","item10",3,3,1
61230,"6",NA,305,"12","item11",2,2,1
61230,"6",NA,305,"12","item12",1,5,0
61230,"6",NA,305,"12","item13",5,4,0
61230,"6",NA,305,"12","item14",1,1,1
61230,"6",NA,305,"12","item15",1,1,1
61230,"6",NA,305,"12","item16",0,2,0
61230,"6",NA,305,"12","item17",5,5,1
61230,"6",NA,305,"12","item18",2,4,0
61230,"6",NA,305,"12","item19",2,2,1
61230,"6",NA,305,"12","item20",0,4,0
61230,"6",NA,305,"12","item21",3,3,1
61230,"6",NA,305,"12","item22",3,3,1
61230,"6",NA,305,"12","item23",3,5,0
61230,"6",NA,305,"12","item24",0,4,0
61230,"6",NA,305,"12","item25",0,3,0
61230,"6",NA,305,"12","item26",0,1,0
61209,"6",NA,334,"19","item7",4,4,1
61209,"6",NA,334,"19","item8",4,4,1
61209,"6",NA,334,"19","item9",1,1,1
61209,"6",NA,334,"19","item10",3,3,1
61209,"6",NA,334,"19","item11",2,2,1
61209,"6",NA,334,"19","item12",5,5,1
61209,"6",NA,334,"19","item13",4,4,1
61209,"6",NA,334,"19","item14",1,1,1
61209,"6",NA,334,"19","item15",1,1,1
61209,"6",NA,334,"19","item16",2,2,1
61209,"6",NA,334,"19","item17",5,5,1
61209,"6",NA,334,"19","item18",4,4,1
61209,"6",NA,334,"19","item19",2,2,1
61209,"6",NA,334,"19","item20",4,4,1
61209,"6",NA,334,"19","item21",3,3,1
61209,"6",NA,334,"19","item22",3,3,1
61209,"6",NA,334,"19","item23",5,5,1
61209,"6",NA,334,"19","item24",0,4,0
61209,"6",NA,334,"19","item25",3,3,1
61209,"6",NA,334,"19","item26",0,1,0
61209,"6",NA,334,"19","item27",0,2,0
61209,"6",NA,334,"19","item28",5,1,0
61209,"6",NA,334,"19","item29",1,2,0
61206,"6",NA,530,"19","item7",4,4,1
61206,"6",NA,530,"19","item8",4,4,1
61206,"6",NA,530,"19","item9",1,1,1
61206,"6",NA,530,"19","item10",3,3,1
61206,"6",NA,530,"19","item11",2,2,1
61206,"6",NA,530,"19","item12",5,5,1
61206,"6",NA,530,"19","item13",4,4,1
61206,"6",NA,530,"19","item14",1,1,1
61206,"6",NA,530,"19","item15",1,1,1
61206,"6",NA,530,"19","item16",1,2,0
61206,"6",NA,530,"19","item17",5,5,1
61206,"6",NA,530,"19","item18",0,4,0
61206,"6",NA,530,"19","item19",2,2,1
61206,"6",NA,530,"19","item20",4,4,1
61206,"6",NA,530,"19","item21",3,3,1
61206,"6",NA,530,"19","item22",3,3,1
61206,"6",NA,530,"19","item23",5,5,1
61206,"6",NA,530,"19","item24",3,4,0
61206,"6",NA,530,"19","item25",2,3,0
61206,"6",NA,530,"19","item26",0,1,0
61206,"6",NA,530,"19","item27",2,2,1
61206,"6",NA,530,"19","item28",1,1,1
61206,"6",NA,530,"19","item29",0,2,0
61206,"6",NA,530,"19","item30",5,2,0
61206,"6",NA,530,"19","item31",5,5,1
61206,"6",NA,530,"19","item32",0,4,0
61206,"6",NA,530,"19","item33",0,3,0
61206,"6",NA,530,"19","item34",4,1,0
61206,"6",NA,530,"19","item35",0,5,0
61205,"6",NA,321,"12","item7",5,4,0
61205,"6",NA,321,"12","item8",4,4,1
61205,"6",NA,321,"12","item9",3,1,0
61205,"6",NA,321,"12","item10",3,3,1
61205,"6",NA,321,"12","item11",2,2,1
61205,"6",NA,321,"12","item12",5,5,1
61205,"6",NA,321,"12","item13",4,4,1
61205,"6",NA,321,"12","item14",1,1,1
61205,"6",NA,321,"12","item15",1,1,1
61205,"6",NA,321,"12","item16",1,2,0
61205,"6",NA,321,"12","item17",1,5,0
61205,"6",NA,321,"12","item18",4,4,1
61205,"6",NA,321,"12","item19",2,2,1
61205,"6",NA,321,"12","item20",0,4,0
61205,"6",NA,321,"12","item21",3,3,1
61205,"6",NA,321,"12","item22",3,3,1
61205,"6",NA,321,"12","item23",0,5,0
61205,"6",NA,321,"12","item24",5,4,0
61205,"6",NA,321,"12","item25",4,3,0
61205,"6",NA,321,"12","item26",3,1,0
61221,"6",NA,618,"21","item7",4,4,1
61221,"6",NA,618,"21","item8",4,4,1
61221,"6",NA,618,"21","item9",1,1,1
61221,"6",NA,618,"21","item10",3,3,1
61221,"6",NA,618,"21","item11",2,2,1
61221,"6",NA,618,"21","item12",5,5,1
61221,"6",NA,618,"21","item13",4,4,1
61221,"6",NA,618,"21","item14",1,1,1
61221,"6",NA,618,"21","item15",1,1,1
61221,"6",NA,618,"21","item16",2,2,1
61221,"6",NA,618,"21","item17",5,5,1
61221,"6",NA,618,"21","item18",4,4,1
61221,"6",NA,618,"21","item19",4,2,0
61221,"6",NA,618,"21","item20",4,4,1
61221,"6",NA,618,"21","item21",3,3,1
61221,"6",NA,618,"21","item22",3,3,1
61221,"6",NA,618,"21","item23",0,5,0
61221,"6",NA,618,"21","item24",3,4,0
61221,"6",NA,618,"21","item25",3,3,1
61221,"6",NA,618,"21","item26",4,1,0
61221,"6",NA,618,"21","item27",4,2,0
61221,"6",NA,618,"21","item28",1,1,1
61221,"6",NA,618,"21","item29",2,2,1
61221,"6",NA,618,"21","item30",2,2,1
61221,"6",NA,618,"21","item31",5,5,1
61221,"6",NA,618,"21","item32",0,4,0
61221,"6",NA,618,"21","item33",2,3,0
61221,"6",NA,618,"21","item34",5,1,0
61221,"6",NA,618,"21","item35",0,5,0
61108,"6",NA,108406,"1","item7",0,4,0
61108,"6",NA,108406,"1","item8",0,4,0
61108,"6",NA,108406,"1","item9",0,1,0
61108,"6",NA,108406,"1","item10",0,3,0
51107,"5",NA,155,"12","item7",4,4,1
51107,"5",NA,155,"12","item8",4,4,1
51107,"5",NA,155,"12","item9",1,1,1
51107,"5",NA,155,"12","item10",3,3,1
51107,"5",NA,155,"12","item11",2,2,1
51107,"5",NA,155,"12","item12",5,5,1
51107,"5",NA,155,"12","item13",5,4,0
51107,"5",NA,155,"12","item14",1,1,1
51107,"5",NA,155,"12","item15",1,1,1
51107,"5",NA,155,"12","item16",2,2,1
51107,"5",NA,155,"12","item17",5,5,1
51107,"5",NA,155,"12","item18",4,4,1
51107,"5",NA,155,"12","item19",2,2,1
51107,"5",NA,155,"12","item20",0,4,0
51107,"5",NA,155,"12","item21",0,3,0
51107,"5",NA,155,"12","item22",0,3,0
51107,"5",NA,155,"12","item23",0,5,0
51108,"5",NA,118,"7","item7",0,4,0
51108,"5",NA,118,"7","item8",4,4,1
51108,"5",NA,118,"7","item9",1,1,1
51108,"5",NA,118,"7","item10",3,3,1
51108,"5",NA,118,"7","item11",0,2,0
51108,"5",NA,118,"7","item12",5,5,1
51108,"5",NA,118,"7","item13",4,4,1
51108,"5",NA,118,"7","item14",4,1,0
51108,"5",NA,118,"7","item15",5,1,0
51108,"5",NA,118,"7","item16",5,2,0
51108,"5",NA,118,"7","item17",5,5,1
51108,"5",NA,118,"7","item18",5,4,0
51108,"5",NA,118,"7","item19",5,2,0
51108,"5",NA,118,"7","item20",5,4,0
51108,"5",NA,118,"7","item21",5,3,0
51104,"5",NA,279,"19","item7",4,4,1
51104,"5",NA,279,"19","item8",4,4,1
51104,"5",NA,279,"19","item9",1,1,1
51104,"5",NA,279,"19","item10",3,3,1
51104,"5",NA,279,"19","item11",2,2,1
51104,"5",NA,279,"19","item12",5,5,1
51104,"5",NA,279,"19","item13",4,4,1
51104,"5",NA,279,"19","item14",1,1,1
51104,"5",NA,279,"19","item15",1,1,1
51104,"5",NA,279,"19","item16",2,2,1
51104,"5",NA,279,"19","item17",5,5,1
51104,"5",NA,279,"19","item18",4,4,1
51104,"5",NA,279,"19","item19",2,2,1
51104,"5",NA,279,"19","item20",0,4,0
51104,"5",NA,279,"19","item21",3,3,1
51104,"5",NA,279,"19","item22",5,3,0
51104,"5",NA,279,"19","item23",5,5,1
51104,"5",NA,279,"19","item24",4,4,1
51104,"5",NA,279,"19","item25",3,3,1
51104,"5",NA,279,"19","item26",1,1,1
51104,"5",NA,279,"19","item27",0,2,0
51104,"5",NA,279,"19","item28",2,1,0
51104,"5",NA,279,"19","item29",1,2,0
51104,"5",NA,279,"19","item30",3,2,0
51205,"5",NA,381,"20","item7",4,4,1
51205,"5",NA,381,"20","item8",4,4,1
51205,"5",NA,381,"20","item9",1,1,1
51205,"5",NA,381,"20","item10",3,3,1
51205,"5",NA,381,"20","item11",2,2,1
51205,"5",NA,381,"20","item12",5,5,1
51205,"5",NA,381,"20","item13",4,4,1
51205,"5",NA,381,"20","item14",1,1,1
51205,"5",NA,381,"20","item15",1,1,1
51205,"5",NA,381,"20","item16",2,2,1
51205,"5",NA,381,"20","item17",5,5,1
51205,"5",NA,381,"20","item18",4,4,1
51205,"5",NA,381,"20","item19",2,2,1
51205,"5",NA,381,"20","item20",4,4,1
51205,"5",NA,381,"20","item21",3,3,1
51205,"5",NA,381,"20","item22",3,3,1
