"pid","grade","condition","totalDuration","Q.score","score","totalTrials"
51101,"5","exp",378,"24",23,29
51102,"5","exp",342,"20",19,26
51104,"5","control",279,"19",18,24
51105,"5","exp",448,"19",18,24
51106,"5","control",575,"15",14,20
51107,"5","control",155,"12",12,17
51108,"5","control",118,"7",6,15
51109,"5","control",278,"18",17,21
51110,"5","exp",540,"23",22,29
51111,"5","exp",588,"21",20,29
51113,"5","control",331,"15",14,22
51114,"5","exp",431,"22",21,29
51116,"5","control",375,"17",16,21
51119,"5","control",284,"16",15,21
51120,"5","control",534,"18",18,23
51121,"5","exp",458,"20",19,27
51201,"5","exp",780,"24",23,29
51202,"5","exp",605,"23",22,28
51203,"5","exp",537,"21",20,29
51205,"5","exp",381,"20",19,23
51206,"5","exp",559,"21",20,28
51208,"5","exp",552,"23",22,28
51209,"5","control",387,"18",17,21
51210,"5","control",298,"16",15,20
51212,"5","control",343,"17",16,20
51215,"5","exp",794,"20",19,29
51217,"5","control",589,"18",17,23
51218,"5","exp",749,"26",25,29
51219,"5","control",510,"19",18,25
51220,"5","exp",560,"21",20,28
61108,"6","control",108406,"1",0,4
61121,"6","control",616,"16",15,20
61122,"6","exp",384,"23",22,29
61126,"6","control",376,"17",16,20
61127,"6","control",365,"15",14,20
61205,"6","control",321,"12",11,20
61206,"6","exp",530,"19",18,29
61208,"6","control",174,"13",12,17
61209,"6","exp",334,"19",18,23
61214,"6","exp",225,"18",17,21
61221,"6","exp",618,"21",20,29
61230,"6","control",305,"12",11,20
71103,"7","exp",400,"22",21,26
71110,"7","exp",559,"21",20,28
71112,"7","control",229,"15",14,18
71116,"7","exp",369,"18",17,22
71118,"7","exp",381,"18",17,21
71119,"7","exp",370,"20",19,25
71120,"7","control",347,"13",12,26
71201,"7","control",585,"15",14,19
71202,"7","control",595,"14",13,23
71203,"7","exp",436,"20",19,28
71205,"7","exp",322,"18",17,26
71206,"7","control",344,"13",12,23
71207,"7","control",252,"12",11,21
71208,"7","control",207,"10",9,19
71209,"7","exp",336,"18",17,21
71210,"7","control",276,"17",16,21
71211,"7","exp",449,"21",20,29
71213,"7","control",249,"16",15,19
71215,"7","exp",700,"23",22,28
71216,"7","exp",477,"23",22,29
71218,"7","exp",653,"22",21,29
71301,"7","control",114,"6",5,9
71303,"7","exp",553,"22",21,29
71307,"7","exp",429,"21",20,28
71310,"7","exp",421,"20",19,26
71311,"7","control",270,"14",13,21
71402,"7","control",290,"16",15,22
71403,"7","exp",340,"19",18,27
71404,"7","exp",401,"18",17,27
71405,"7","exp",379,"19",18,25
71406,"7","control",203,"13",12,22
71407,"7","exp",391,"20",19,29
71411,"7","exp",306,"20",19,24
71412,"7","control",192,"11",10,18
71416,"7","control",266,"17",16,23
71417,"7","exp",542,"25",24,29
72101,"7","control",278,"14",13,18
72102,"7","exp",382,"18",17,28
72103,"7","control",366,"16",15,22
72109,"7","exp",696,"21",20,27
72112,"7","exp",386,"21",20,24
72115,"7","exp",601,"25",24,29
72119,"7","control",149,"8",7,11
72120,"7","control",304,"16",15,22
72123,"7","control",376,"17",16,21
72126,"7","exp",403,"18",17,22
72201,"7","exp",370,"18",17,25
72202,"7","control",328,"16",15,21
72203,"7","exp",365,"18",17,22
72204,"7","exp",504,"23",22,29
72205,"7","control",294,"15",14,22
72209,"7","control",302,"17",16,20
72224,"7","control",472,"15",14,21
72301,"7","exp",431,"18",17,23
72302,"7","exp",398,"22",21,28
72303,"7","control",310,"17",16,21
72305,"7","control",281,"17",16,21
72306,"7","exp",631,"20",19,29
72307,"7","exp",752,"25",24,29
72309,"7","exp",351,"18",17,28
72313,"7","control",386,"17",16,24
72317,"7","exp",332,"18",17,26
72319,"7","exp",433,"19",18,27
72401,"7","exp",282,"19",18,26
72404,"7","control",422,"10",9,15
72405,"7","control",128,"6",5,11
72406,"7","control",352,"15",14,24
72411,"7","control",145,"8",7,14
72412,"7","exp",423,"20",19,26
72414,"7","exp",237,"18",17,22
72415,"7","control",187,"14",13,18
72416,"7","control",263,"14",13,21
72417,"7","exp",405,"18",17,25
72418,"7","exp",271,"19",18,23
72420,"7","exp",592,"18",17,27
72501,"7","control",275,"15",14,20
72502,"7","control",271,"14",13,20
72505,"7","exp",366,"22",21,29
72507,"7","exp",394,"18",17,23
72508,"7","control",469,"16",15,27
72509,"7","control",282,"13",12,18
72513,"7","exp",389,"20",19,27
72515,"7","control",376,"16",15,23
72516,"7","exp",187,"22",21,29
72518,"7","control",255,"15",14,20
72519,"7","control",395,"16",15,20
72520,"7","control",232,"16",15,21
72521,"7","exp",414,"19",18,26
72522,"7","control",180,"13",12,16
72601,"7","exp",503,"21",20,29
72603,"7","control",384,"17",16,21
72604,"7","control",456,"17",16,23
72605,"7","control",191,"14",13,21
72606,"7","exp",595,"25",24,29
72607,"7","control",215,"13",12,21
72609,"7","control",243,"13",12,18
72610,"7","control",280,"15",14,23
72611,"7","control",271,"11",10,19
72612,"7","exp",436,"24",23,29
72613,"7","control",32,"1",0,4
72614,"7","control",276,"15",14,20
72615,"7","exp",438,"20",19,27
72617,"7","control",263,"14",13,18
72618,"7","control",337,"16",15,29
72620,"7","control",140,"7",7,13
