sub_ID,Q6_consent,Q8_covid_info,Q9_covid_knowledge,Q10_rank_attention_to_news,Q13_1_trust_doctor_news,Q13_trust_hospital_news,Q13_trust_cdc_news,Q13_trust_government_news,Q14_confidence_us_government,Q16_Belief_scientists_understand_covid,Q17_concerned_outbreak,Q18_likely_to_catch_covid,Q20_ability_to_protect_self,Q21_expected_symptom_severity,Q101_confidence_in_authority,Q23_risk_exaggerated,Q27_wearing_mask,Q35_take_vaccine_,Q40_age,Q40_age_bin,Q41_gender,Q74_education,Q84_community,Q43_health_1_5_,Q39_flu_vaccine,Q44_contact_covid,Q85_pre_exisiting_conditions,Q92_friends_family_preexisiting_conditions
2,1,A lot,A little,6,FALSE,FALSE,TRUE,FALSE,6,5,A little,29,50,4,46,somewhat disagree,sick people,definitely,31,30-34,f,doctorate,large city,3,TRUE,unsure,no,no
7,1,A lot, A moderate amount,8,FALSE,FALSE,TRUE,FALSE,5,6, A moderate amount,40,61,3,60,somewhat disagree,sick people,probably,28,25-29,f, 4 year degree,large city,3,TRUE,unsure,yes,yes
11,1,A lot, A moderate amount,7,FALSE,FALSE,FALSE,FALSE,6,5, A moderate amount,81,59,2,34,somewhat disagree,sick people,definitely,23,20-24,f, 4 year degree,large city,4,TRUE,no,no,yes
14,1,A lot,A lot,9,FALSE,FALSE,FALSE,FALSE,2,8,A little,37,89,2,10,strongly disagree,sick people,definitely,34,30-34,f,professional degree,suburb,5,TRUE,unsure,no,no
15,1, A moderate amount, A moderate amount,5,FALSE,FALSE,TRUE,FALSE,8,7,A little,2,50,2,95,strongly agree,sick people,probably,35,35-39,m,doctorate,large city,5,TRUE,no,no,yes
18,1, A moderate amount,NA,6,FALSE,FALSE,TRUE,FALSE,5,8, A moderate amount,9,82,3,61,somewhat disagree,sick people,probably,47,45-49,m,doctorate,large city,3,TRUE,no,yes,no
19,1,A lot, A moderate amount,10,FALSE,FALSE,TRUE,FALSE,7,8,A little,40,50,3,61,somewhat disagree,sick people,definitely,45,45-49,f,doctorate,small city/town,3,TRUE,no,no,no
23,1,A lot,A lot,9,FALSE,FALSE,TRUE,FALSE,3,8, A moderate amount,60,70,3,50,strongly disagree,sick people,definitely,37,35-39,m,doctorate,large city,4,TRUE,unsure,no,unsure
24,1,A lot, A moderate amount,6,FALSE,FALSE,TRUE,FALSE,3,6,A little,75,30,3,35,somewhat disagree,sick people,definitely,19,18-19,f,some college,suburb,3,TRUE,unsure,no,no
28,1,A lot,A lot,8,FALSE,FALSE,FALSE,FALSE,4,7,A lot,78,38,3,30,strongly disagree,sick people,definitely,32,30-34,f,doctorate,large city,5,TRUE,no,no,no
