penguin,species,island,bill_length_mm,bill_depth_mm,body_mass_g,sex,year,bill_sum
p1,Adelie,Torgersen,42.1,21.33,3782.8,male,2008,63.43
p2,Adelie,Torgersen,42.5,20.03,3832.8,female,2008,62.53
p3,Adelie,Torgersen,43.3,20.63,3282.8,female,2008,63.93
p5,Adelie,Torgersen,39.7,21.93,3482.8,female,2008,61.63
p6,Adelie,Torgersen,42.3,23.23,3682.8,male,2008,65.53
p7,Adelie,Torgersen,41.9,20.43,3657.8,female,2008,62.33
p8,Adelie,Torgersen,42.2,22.23,4707.8,male,2008,64.43
p13,Adelie,Torgersen,44.1,20.23,3232.8,female,2008,64.33
p14,Adelie,Torgersen,41.6,23.83,3832.8,male,2008,65.43
p15,Adelie,Torgersen,37.6,23.73,4432.8,male,2008,61.33
p16,Adelie,Torgersen,39.6,20.43,3732.8,female,2008,60.03
p17,Adelie,Torgersen,41.7,21.63,3482.8,female,2008,63.33
p18,Adelie,Torgersen,45.5,23.33,4532.8,male,2008,68.83
p19,Adelie,Torgersen,37.4,21.03,3357.8,female,2008,58.43
p20,Adelie,Torgersen,49,24.13,4232.8,male,2008,73.13
p21,Adelie,Biscoe,40.8,20.93,3432.8,female,2008,61.73
p22,Adelie,Biscoe,40.7,21.33,3632.8,male,2008,62.03
p23,Adelie,Biscoe,38.9,21.83,3832.8,female,2008,60.73
p24,Adelie,Biscoe,41.2,20.73,3982.8,male,2008,61.93
p25,Adelie,Biscoe,41.8,19.83,3832.8,male,2008,61.63
p26,Adelie,Biscoe,38.3,21.53,3832.8,female,2008,59.83
p27,Adelie,Biscoe,43.6,21.23,3582.8,male,2008,64.83
p28,Adelie,Biscoe,43.5,20.53,3232.8,female,2008,64.03
p29,Adelie,Biscoe,40.9,21.23,3182.8,female,2008,62.13
p30,Adelie,Biscoe,43.5,21.53,3982.8,male,2008,65.03
p31,Adelie,Dream,42.5,19.33,3282.8,female,2008,61.83
p32,Adelie,Dream,40.2,20.73,3932.8,male,2008,60.93
p33,Adelie,Dream,42.5,20.43,3332.8,female,2008,62.93
p34,Adelie,Dream,43.9,21.53,3932.8,male,2008,65.43
p35,Adelie,Dream,39.4,19.63,3357.8,female,2008,59.03
p36,Adelie,Dream,42.2,23.73,4182.8,male,2008,65.93
p37,Adelie,Dream,41.8,22.63,3982.8,male,2008,64.43
p38,Adelie,Dream,45.2,21.13,3582.8,female,2008,66.33
p39,Adelie,Dream,40.6,21.93,3332.8,female,2008,62.53
p40,Adelie,Dream,42.8,21.73,4682.8,male,2008,64.53
p41,Adelie,Dream,39.5,20.63,3182.8,female,2008,60.13
p42,Adelie,Dream,43.8,21.03,3932.8,male,2008,64.83
p43,Adelie,Dream,39,21.13,3132.8,female,2008,60.13
p44,Adelie,Dream,47.1,22.33,4432.8,male,2008,69.43
p45,Adelie,Dream,40,19.53,3032.8,female,2008,59.53
p46,Adelie,Dream,42.6,21.43,4632.8,male,2008,64.03
p47,Adelie,Dream,44.1,21.63,3457.8,male,2008,65.73
p48,Adelie,Dream,40.5,21.53,3007.8,NA,2008,62.03
p49,Adelie,Dream,39,20.53,3482.8,female,2008,59.53
p50,Adelie,Dream,45.3,23.83,4182.8,male,2008,69.13
p153,Gentoo,Biscoe,49.1,15.83,4532.8,female,2008,64.93
p51,Gentoo,Biscoe,53,18.93,5732.8,male,2008,71.93
p52,Gentoo,Biscoe,51.7,16.73,4482.8,female,2008,68.43
p53,Gentoo,Biscoe,53,17.83,5732.8,male,2008,70.83
p54,Gentoo,Biscoe,50.6,17.13,5432.8,male,2008,67.73
p55,Gentoo,Biscoe,49.5,16.13,4582.8,female,2008,65.63
p56,Gentoo,Biscoe,48.4,17.23,4832.8,female,2008,65.63
p57,Gentoo,Biscoe,49.7,17.93,5232.8,male,2008,67.63
p58,Gentoo,Biscoe,46.3,16.03,4432.8,female,2008,62.33
p59,Gentoo,Biscoe,49.8,18.03,5182.8,male,2008,67.83
p60,Gentoo,Biscoe,43.9,16.33,4682.8,female,2008,60.23
p61,Gentoo,Biscoe,52,18.73,5582.8,male,2008,70.73
p62,Gentoo,Biscoe,48.5,16.33,4682.8,female,2008,64.83
p63,Gentoo,Biscoe,51.4,17.23,5882.8,male,2008,68.63
p64,Gentoo,Biscoe,48.8,17.23,4232.8,female,2008,66.03
p65,Gentoo,Biscoe,52.3,18.33,5882.8,male,2008,70.63
p66,Gentoo,Biscoe,45,16.13,4182.8,female,2008,61.13
p67,Gentoo,Biscoe,52.2,17.83,6332.8,male,2008,70.03
p68,Gentoo,Biscoe,49.2,17.13,4832.8,female,2008,66.33
p69,Gentoo,Biscoe,51.7,17.73,5382.8,male,2008,69.43
p70,Gentoo,Biscoe,53.2,16.93,5732.8,male,2008,70.13
p71,Gentoo,Biscoe,48.1,17.13,5032.8,female,2008,65.23
p73,Gentoo,Biscoe,49.3,18.43,5082.8,male,2008,67.73
p74,Gentoo,Biscoe,45.9,15.73,5032.8,female,2008,61.63
p75,Gentoo,Biscoe,49.1,17.73,5132.8,male,2008,66.83
p76,Gentoo,Biscoe,47.5,16.93,4132.8,NA,2008,64.43
p77,Gentoo,Biscoe,50.8,17.63,5682.8,male,2008,68.43
p78,Gentoo,Biscoe,51.2,16.93,4632.8,female,2008,68.13
p79,Gentoo,Biscoe,53,17.93,5582.8,male,2008,70.93
p80,Gentoo,Biscoe,50.3,17.93,5282.8,male,2008,68.23
p81,Gentoo,Biscoe,45.8,16.83,4732.8,female,2008,62.63
p82,Gentoo,Biscoe,48.1,17.13,5082.8,female,2008,65.23
p83,Gentoo,Biscoe,62.6,19.63,6082.8,male,2008,82.23
p84,Chinstrap,Dream,49.5,20.53,3532.8,female,2008,70.03
p85,Chinstrap,Dream,53,22.13,3932.8,male,2008,75.13
p86,Chinstrap,Dream,54.3,21.83,3682.8,male,2008,76.13
p87,Chinstrap,Dream,48.4,21.33,3557.8,female,2008,69.73
p88,Chinstrap,Dream,55.7,22.43,3757.8,male,2008,78.13
p89,Chinstrap,Dream,48.2,20.43,3982.8,female,2008,68.63
p91,Chinstrap,Dream,54.3,20.83,3782.8,male,2008,75.13
p92,Chinstrap,Dream,49,21.53,4182.8,female,2008,70.53
p93,Chinstrap,Dream,54.3,22.53,3732.8,male,2008,76.83
p94,Chinstrap,Dream,49.6,20.43,3832.8,female,2008,70.03
p95,Chinstrap,Dream,54.7,22.93,3807.8,male,2008,77.63
p96,Chinstrap,Dream,50,19.93,3732.8,female,2008,69.93
p97,Chinstrap,Dream,55,20.73,4082.8,male,2008,75.73
p98,Chinstrap,Dream,48.9,19.73,3607.8,female,2008,68.63
p99,Chinstrap,Dream,53.5,22.23,4082.8,male,2008,75.73
p100,Chinstrap,Dream,53.3,22.63,3332.8,male,2008,75.93
p101,Chinstrap,Dream,61,20.43,3732.8,female,2008,81.43
p102,Chinstrap,Dream,49.4,21.23,3482.8,female,2008,70.63
p103,Chinstrap,Dream,52.2,20.83,4432.8,male,2008,73.03
p104,Chinstrap,Dream,45.4,19.93,3632.8,female,2008,65.33
p105,Chinstrap,Dream,51.5,20.13,3432.8,male,2008,71.63
p106,Chinstrap,Dream,46.2,19.23,2932.8,female,2008,65.43
p107,Chinstrap,Dream,53.6,22.03,3832.8,male,2008,75.63
p108,Chinstrap,Dream,49.7,20.53,3332.8,female,2008,70.23
p109,Chinstrap,Dream,55,21.63,4182.8,male,2008,76.63
