b,r1,r2
b1,2.036287858,-2.141573836
b2,4.324976005,-3.778699995
b3,4.644983389,-3.359008719
b4,3.134343415,-3.817492821
b5,2.794094201,-1.311900485
b6,4.946640807,-5.078427032
b7,2.195226289,-1.834485753
b8,1.116877214,-2.365601013
b9,3.608149303,-3.803237856
b10,2.766506244,-3.939986428
b11,2.464998808,-1.900128711
b12,2.708296827,-0.871368858
b13,1.346241045,-2.93581007
b14,3.299491155,-3.480663123
b15,2.765720866,-4.338652047
b16,3.216923113,-2.658620086
b17,4.313710416,-3.429914348
b18,3.375821632,-3.340552
b19,3.240196156,-0.159688109
b20,4.051581725,-2.272491983
b21,2.81390923,-2.166229757
b22,2.328574172,-2.832929866
b23,3.577230973,-2.848609462
b24,1.61775655,-3.365674417
b25,1.821461398,-3.271621858
b26,4.322458798,-3.355004322
b27,3.168855425,-3.921019155
b28,2.438931559,-3.399520568
b29,2.194319545,-2.975074704
b30,3.683247242,-2.529166677
b31,3.609526221,-3.281573221
b32,2.503882437,-2.782022626
b33,2.177544079,-3.018717467
b34,1.083131434,-3.543059709
b35,2.627795864,-2.294777681
b36,1.914944602,-2.477151607
b37,2.890205668,-4.188064785
b38,3.472479052,-2.767262293
b39,3.458173995,-2.790675983
b40,2.430942471,-2.581611721
b41,3.265364912,-5.081450021
b42,2.094210981,-4.594316099
b43,3.727964363,-1.761681021
b44,4.213058687,-3.536070119
b45,1.096864914,-2.145723014
b46,2.450295395,-2.553268368
b47,1.688931233,-2.809961611
b48,2.236270704,-1.206529305
b49,2.47142238,-4.30901043
b50,4.064369907,-3.408179472
b51,3.968431006,-3.07102386
b52,1.915001961,-4.195365142
b53,3.437775654,-2.894286658
b54,3.559225277,-2.865989837
b55,1.571560538,-4.405949978
b56,2.841353902,-4.441826395
b57,1.435567873,-3.12735782
b58,4.225408399,-2.971357438
b59,3.687337144,-2.597069685
b60,2.628938412,-3.920770487
b61,3.617829128,-2.390075295
b62,4.743380477,-2.402440997
b63,4.694371663,-1.920522609
b64,3.202658259,-3.889469856
b65,3.768707535,-3.359327356
b66,2.237035609,-4.033305689
b67,4.149525266,-3.723774272
b68,3.960601986,-2.459382714
b69,3.573995907,-2.355015662
b70,4.838078062,-1.313395001
b71,2.62604485,-1.783455358
b72,2.774418273,-2.945618659
b73,1.421366958,-4.607397105
b74,2.3511532,-2.55845864
b75,2.15102556,-0.805749016
b76,3.357265059,-1.985376771
b77,5.036381915,-4.29843838
b78,3.920513237,-0.953529104
b79,2.818843222,-2.861202926
b80,3.374851406,-4.479144418
b81,3.040617057,-2.608614813
