Country_name,population
China,1444216107
India,1393409038
United States,332915073
Indonesia,276361783
Pakistan,225199937
Brazil,213993437
Nigeria,211400708
Bangladesh,166303498
Russia,145912025
Mexico,130262216
Japan,126050804
Ethiopia,117876227
Philippines,111046913
Egypt,104258327
Vietnam,98168833
DR Congo,92377993
Turkey,85042738
Iran,85028759
Germany,83900473
Thailand,69950850
United Kingdom,68207116
France,65426179
Tanzania,61498437
Italy,60367477
South Africa,60041994
Kenya,54985698
Myanmar,54806012
South Korea,51305186
Colombia,51265844
Uganda,47123531
Spain,46745216
Argentina,45605826
Sudan,44909353
Algeria,44616624
Ukraine,43466819
Iraq,41179350
Afghanistan,39835428
Canada,38067903
Poland,37797005
Morocco,37344795
Saudi Arabia,35340683
Uzbekistan,33935763
Angola,33933610
Peru,33359418
Malaysia,32776194
Mozambique,32163047
Ghana,31732129
Yemen,30490640
Nepal,29674920
Venezuela,28704954
Madagascar,28427328
Cameroon,27224265
Ivory Coast,27053629
North Korea,25887041
Australia,25788215
Niger,25130817
Taiwan,23855010
Sri Lanka,21497310
Burkina Faso,21497096
Mali,20855735
Malawi,19647684
Chile,19212361
Romania,19127774
Kazakhstan,18994962
Zambia,18920651
Syria,18275702
Guatemala,18249860
Ecuador,17888475
Senegal,17196301
Netherlands,17173099
Cambodia,16946438
Chad,16914985
Somalia,16359504
Zimbabwe,15092171
Guinea,13497244
Rwanda,13276513
Benin,12451040
Burundi,12255433
Tunisia,11935766
Bolivia,11832940
Belgium,11632326
Haiti,11541685
South Sudan,11381378
Cuba,11317505
Dominican Republic,10953703
Czech Republic,10724555
Greece,10370744
Jordan,10269021
Azerbaijan,10223342
Portugal,10167925
Sweden,10160169
Honduras,10062991
United Arab Emirates,9991089
Tajikistan,9749627
Hungary,9634164
Belarus,9442862
Papua New Guinea,9119010
Austria,9043070
Israel,8789774
Switzerland,8715494
Serbia,8697550
Togo,8478250
Sierra Leone,8141343
Hong Kong,7552810
Laos,7379358
Paraguay,7219638
Libya,6958532
Bulgaria,6896663
Lebanon,6769146
Nicaragua,6702385
Kyrgyzstan,6628356
El Salvador,6518499
Turkmenistan,6117924
Singapore,5896686
Denmark,5813298
Republic of the Congo,5657013
Finland,5548360
Norway,5465630
Slovakia,5460721
Oman,5223375
Palestine,5222748
Liberia,5180203
Costa Rica,5139052
Ireland,4982907
Central African Republic,4919981
New Zealand,4860643
Mauritania,4775119
Panama,4381579
Kuwait,4328550
Croatia,4081651
Moldova,4024019
Georgia,3979765
Eritrea,3601467
Uruguay,3485151
Mongolia,3329289
Bosnia and Herzegovina,3263466
Jamaica,2973463
Armenia,2968127
Qatar,2930528
Albania,2872933
Puerto Rico,2828255
Lithuania,2689862
Namibia,2587344
Gambia,2486945
Botswana,2397241
Gabon,2278825
Lesotho,2159079
North Macedonia,2082658
Slovenia,2078724
Guinea-Bissau,2015494
Latvia,1866942
Bahrain,1748296
Equatorial Guinea,1449896
Trinidad and Tobago,1403375
Timor-Leste,1343873
Estonia,1325185
Mauritius,1273433
Cyprus,1215584
Eswatini,1172362
Djibouti,1002187
Fiji,902906
Reunion,901686
Comoros,888451
Guyana,790326
Bhutan,779898
Solomon Islands,703996
Macau,658394
Luxembourg,634814
Montenegro,628053
Western Sahara,611875
Suriname,591800
Cape Verde,561898
Maldives,543617
Malta,442784
Brunei,441532
Belize,404914
Guadeloupe,400020
Bahamas,396913
Martinique,374745
Iceland,343353
Vanuatu,314464
French Guiana,306448
New Caledonia,288218
Barbados,287711
French Polynesia,282530
Mayotte,279515
Sao Tome and Principe,223368
Samoa,200149
Saint Lucia,184400
Guam,170179
Curacao,164798
Kiribati,121392
Micronesia,116254
Grenada,113021
Saint Vincent and the Grenadines,111263
Aruba,107204
Tonga,106760
United States Virgin Islands,104226
Seychelles,98908
Antigua and Barbuda,98731
Isle of Man,85410
Andorra,77355
Dominica,72167
Cayman Islands,66497
Bermuda,62090
Marshall Islands,59610
Northern Mariana Islands,57917
Greenland,56877
American Samoa,55100
Saint Kitts and Nevis,53544
Faroe Islands,49049
Sint Maarten,43412
Monaco,39511
Saint Martin,39234
Turks and Caicos Islands,39231
Liechtenstein,38250
San Marino,34017
Gibraltar,33698
British Virgin Islands,30421
Palau,18169
Cook Islands,17565
Anguilla,15117
Tuvalu,11931
Wallis and Futuna,11094
Nauru,10876
Saint Barthelemy,9907
Saint Pierre and Miquelon,5766
Montserrat,4977
Falkland Islands,3533
Niue,1619
Tokelau,1373
Vatican City,800
