sub_ID,Q6.consent,Q8.covid_info,Q9.covid_knowledge,Q10.rank_attention_to_news,Q13.trust_doctor_news,Q13.trust_hospital_news,Q13.trust_cdc_news,Q13.trust_government_news,Q13.trust_none_of_above,Q14.confidence_us_government,Q16.Belief_scientists_understand_covid,Q17.concerned_outbreak,Q18.likely_to_catch_covid,Q20.ability_to_protect_self,Q21.expected_symptom_severity,Q101.confidence_in_authority,Q23.risk_exaggerated,Q27.wearing_mask,Q35.take_vaccine?,Q40.age,Q41.gender,Q74.education,Q84.community,Q43.health(1.5),Q39.flu.vaccine,Q44.contact_covid,Q85.pre.exisiting_conditions,Q92.friends/family_preexisiting_conditions
1,1,A moderate amount,NA,3,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,no,prefer not to say,no
2,1,A lot,A little,6,FALSE,FALSE,TRUE,FALSE,FALSE,6,5,A little,29,50,4,46,somewhat disagree,sick people,definitely,30-34,f,doctorate,large city,3,TRUE,unsure,no,no
3,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,FALSE,5,9,A moderate amount,50,70,2,40,NA,sick people,probably,25-29,f,professional degree,ruralArea,3,FALSE,no,no,no
4,1,A moderate amount,A moderate amount,4,FALSE,FALSE,TRUE,FALSE,FALSE,4,3,NA,9,49,3,30,strongly disagree,everyone,definitely,50-54,m,doctorate,small city/town,3,TRUE,no,no,yes
5,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,A lot,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,FALSE,3,4,A moderate amount,22,81,3,50,NA,sick people,definitely,25-29,f,doctorate,large city,4,TRUE,no,no,no
7,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,A moderate amount,40,61,3,60,somewhat disagree,sick people,probably,25-29,f,4 year degree,large city,3,TRUE,unsure,yes,yes
8,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,FALSE,3,8,A lot,69,70,3,40,NA,sick people,definitely,45-49,f,4 year degree,small city/town,5,TRUE,no,no,yes
9,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,FALSE,8,10,NA,85,100,2,80,somewhat disagree,sick people,definitely,55-59,m,doctorate,small city/town,3,TRUE,unsure,no,yes
10,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,FALSE,6,5,A moderate amount,81,59,2,34,somewhat disagree,sick people,definitely,20-24,f,4 year degree,large city,4,TRUE,no,no,yes
12,1,A moderate amount,A little,3,FALSE,FALSE,TRUE,FALSE,FALSE,5,9,A little,50,91,3,70,NA,sick people,definitely,40-44,f,doctorate,small city/town,2,TRUE,no,yes,yes
13,1,A moderate amount,A moderate amount,2,FALSE,FALSE,TRUE,FALSE,FALSE,9,7,NA,8,80,3,61,NA,sick people,probably,45-49,f,doctorate,small city/town,3,TRUE,no,unsure,yes
14,1,A lot,A lot,9,FALSE,FALSE,FALSE,FALSE,FALSE,2,8,A little,37,89,2,10,strongly disagree,sick people,definitely,30-34,f,professional degree,suburb,5,TRUE,unsure,no,no
15,1,A moderate amount,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,FALSE,8,7,A little,2,50,2,95,stronglyAgree,sick people,probably,35-39,m,doctorate,large city,5,TRUE,no,no,yes
16,1,A lot,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,FALSE,4,6,NA,80,50,2,25,NA,sick people,unsure,18-19,f,some college,suburb,3,FALSE,unsure,no,yes
17,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,A little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,FALSE,5,8,A moderate amount,9,82,3,61,somewhat disagree,sick people,probably,45-49,m,doctorate,large city,3,TRUE,no,yes,no
19,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,A little,40,50,3,61,somewhat disagree,sick people,definitely,45-49,f,doctorate,small city/town,3,TRUE,no,no,no
20,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,FALSE,3,6,NotAtAll,5,93,3,7,NA,sick people,definitely,30-34,f,doctorate,suburb,4,TRUE,no,no,no
21,1,A moderate amount,A moderate amount,5,FALSE,FALSE,TRUE,TRUE,FALSE,3,7,A moderate amount,50,93,2,50,NA,no one/no mask evidence,probably_not,45-49,m,doctorate,suburb,4,FALSE,no,no,no
22,1,A moderate amount,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,FALSE,7,7,A lot,35,85,3,60,NA,sick people,probably,40-44,f,doctorate,suburb,3,TRUE,no,no,yes
23,1,A lot,A lot,9,FALSE,FALSE,TRUE,FALSE,FALSE,3,8,A moderate amount,60,70,3,50,strongly disagree,sick people,definitely,35-39,m,doctorate,large city,4,TRUE,unsure,no,unsure
24,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,FALSE,3,6,A little,75,30,3,35,somewhat disagree,sick people,definitely,18-19,f,some college,suburb,3,TRUE,unsure,no,no
25,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,TRUE,FALSE,8,7,A lot,12,69,3,72,NA,sick people,definitely,50-54,m,doctorate,suburb,4,TRUE,no,no,no
26,1,A lot,A moderate amount,NA,FALSE,FALSE,TRUE,FALSE,FALSE,2,8,A little,67,63,4,80,stronglyAgree,healthy people,definitely,80+,f,4 year degree,suburb,2,TRUE,no,yes,unsure
27,1,A moderate amount,A little,5,FALSE,FALSE,TRUE,FALSE,FALSE,3,7,A lot,30,80,3,51,NA,sick people,probably,25-29,f,4 year degree,small city/town,3,FALSE,no,no,unsure
28,1,A lot,A lot,8,FALSE,FALSE,FALSE,FALSE,FALSE,4,7,A lot,78,38,3,30,strongly disagree,sick people,definitely,30-34,f,doctorate,large city,5,TRUE,no,no,no
29,1,A lot,A moderate amount,9,TRUE,FALSE,TRUE,FALSE,FALSE,1,7,A little,5,75,2,31,somewhat disagree,sick people,definitely,45-49,m,professional degree,small city/town,5,TRUE,no,no,no
30,1,A lot,A moderate amount,7,FALSE,TRUE,TRUE,FALSE,FALSE,3,5,A moderate amount,85,70,3,80,stronglyAgree,sick people,probably,30-34,f,professional degree,suburb,5,TRUE,yes,no,yes
31,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,FALSE,0,7,A little,50,56,3,39,NA,sick people,probably,65-69,m,doctorate,large city,4,TRUE,no,no,no
32,1,A moderate amount,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,FALSE,3,6,A moderate amount,10,70,3,50,NA,healthy people,unsure,35-39,m,doctorate,small city/town,4,FALSE,no,no,no
33,1,A lot,A moderate amount,9,TRUE,FALSE,TRUE,FALSE,FALSE,1,7,A moderate amount,35,85,3,50,somewhat disagree,sick people,unsure,55-59,m,doctorate,suburb,4,FALSE,no,yes,no
34,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,A little,1,71,2,9,NA,no one/no mask evidence,definitely,20-24,f,4 year degree,small city/town,5,FALSE,no,no,yes
35,1,A moderate amount,A little,4,FALSE,TRUE,TRUE,FALSE,FALSE,4,6,NA,50,21,4,30,somewhat disagree,everyone,probably,20-24,f,2 year degree,small city/town,2,FALSE,no,no,yes
36,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,FALSE,1,9,A little,50,80,4,10,strongly disagree,sick people,definitely,55-59,m,doctorate,suburb,5,FALSE,unsure,yes,yes
37,1,A lot,A little,6,FALSE,FALSE,TRUE,FALSE,FALSE,3,7,A moderate amount,10,85,3,20,NA,sick people,probably,30-34,f,doctorate,suburb,4,TRUE,no,no,yes
38,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,8,A little,50,80,3,70,NA,sick people,definitely,55-59,f,professional degree,large city,2,FALSE,no,yes,yes
39,1,A little,A little,5,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,A lot,41,52,2,31,NA,everyone,probably,20-24,f,some college,suburb,4,FALSE,unsure,no,yes
40,1,A moderate amount,A little,7,FALSE,FALSE,TRUE,FALSE,FALSE,1,6,A little,70,70,3,40,strongly disagree,sick people,definitely,30-34,f,professional degree,suburb,4,TRUE,no,no,yes
41,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,A lot,10,94,3,81,NA,everyone,definitely,40-44,m,doctorate,suburb,5,FALSE,no,no,yes
42,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,A little,68,80,3,76,strongly disagree,sick people,definitely,60-64,m,doctorate,large city,4,TRUE,no,yes,unsure
43,1,A moderate amount,A little,3,TRUE,FALSE,TRUE,FALSE,FALSE,3,7,A little,25,70,5,36,NA,no one/no mask evidence,probably,50-54,m,4 year degree,small city/town,2,TRUE,unsure,yes,yes
44,1,A moderate amount,A little,4,TRUE,TRUE,TRUE,FALSE,FALSE,3,10,NA,0,90,2,72,somewhat disagree,sick people,probably,30-34,f,some college,suburb,5,TRUE,no,no,yes
45,1,A moderate amount,A little,4,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,A little,75,57,4,53,strongly disagree,everyone,definitely,20-24,m,some college,suburb,3,FALSE,no,no,unsure
46,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,FALSE,4,8,A little,10,80,2,90,NA,sick people,definitely,20-24,m,2 year degree,suburb,4,FALSE,no,no,yes
47,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,Work because they use the proper channels to make sound decisions.,7,7,A little,28,58,2,82,NA,no one/no mask evidence,probably,45-49,f,2 year degree,large city,4,TRUE,no,no,yes
48,1,A moderate amount,A little,3,FALSE,FALSE,TRUE,FALSE,,5,3,NA,5,90,2,80,NA,no one/no mask evidence,probably_not,30-34,f,2 year degree,ruralArea,5,FALSE,no,no,no
49,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,A moderate amount,A moderate amount,6,FALSE,TRUE,TRUE,FALSE,,1,5,A moderate amount,10,90,2,40,NA,sick people,definitely,25-29,m,4 year degree,small city/town,3,TRUE,no,no,no
51,1,A moderate amount,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,4,7,A little,50,50,3,30,somewhat disagree,sick people,definitely,45-49,f,4 year degree,suburb,3,TRUE,unsure,no,no
52,1,A little,A little,3,FALSE,FALSE,TRUE,FALSE,,3,7,NA,8,50,2,28,NA,sick people,probably_not,18-19,f,some college,small city/town,4,FALSE,unsure,no,yes
53,1,A lot,A lot,9,FALSE,FALSE,FALSE,FALSE,,6,8,A moderate amount,60,90,2,30,strongly disagree,sick people,definitely,30-34,f,doctorate,suburb,5,FALSE,unsure,no,no
54,1,A moderate amount,A little,7,FALSE,FALSE,TRUE,FALSE,,4,7,A moderate amount,40,81,3,30,somewhat disagree,sick people,probably,35-39,f,professional degree,suburb,2,TRUE,no,yes,yes
55,1,A moderate amount,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,2,5,NA,49,70,2,50,NA,sick people,probably,50-54,f,professional degree,ruralArea,4,FALSE,no,no,yes
56,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,1,8,A moderate amount,53,63,3,12,strongly disagree,sick people,definitely,45-49,f,doctorate,large city,5,TRUE,unsure,no,yes
57,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,2,8,A moderate amount,80,61,3,70,strongly disagree,no one/no mask evidence,probably,35-39,m,doctorate,small city/town,3,FALSE,no,no,yes
58,1,A lot,A lot,8,FALSE,FALSE,FALSE,FALSE,,4,7,A moderate amount,65,90,3,84,somewhat disagree,sick people,probably,50-54,f,doctorate,small city/town,5,FALSE,unsure,no,no
59,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,FriendsAnd colleagues whoAre nursesAnd/or work closely inA medical field,3,8,A little,30,80,3,70,somewhat disagree,sick people,probably,45-49,f,doctorate,suburb,4,TRUE,unsure,no,unsure
60,1,A lot,A little,4,FALSE,FALSE,TRUE,FALSE,,0,1,A moderate amount,2,20,2,19,NA,sick people,definitely,25-29,m,professional degree,small city/town,3,FALSE,no,unsure,unsure
61,1,A moderate amount,A moderate amount,6,FALSE,FALSE,FALSE,FALSE,,3,5,A moderate amount,24,75,2,47,NA,sick people,unsure,60-64,f,some college,large city,4,FALSE,no,no,yes
62,1,A lot,A lot,9,FALSE,FALSE,FALSE,FALSE,,4,6,NotAtAll,30,58,3,38,somewhat disagree,sick people,definitely,30-34,m,doctorate,small city/town,4,TRUE,no,no,unsure
63,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,1,7,A moderate amount,5,66,2,78,stronglyAgree,sick people,definitely not,60-64,f,highschool graduate,large city,4,FALSE,no,no,no
64,1,A lot,A lot,8,FALSE,FALSE,FALSE,FALSE,,2,8,A little,20,79,2,49,somewhat disagree,sick people,probably,40-44,f,professional degree,large city,3,FALSE,no,no,no
65,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,5,6,A moderate amount,40,50,2,30,somewhat disagree,sick people,probably_not,50-54,f,4 year degree,large city,4,FALSE,no,no,no
