participant,area,advisor,caffeine_mg,tiktok_min,hours_contemplating_other_paths,selfcare_score
1,Developmental,L,183.74069154198753,35.40918351110995,3.638374307448402,6.528845425863118
2,Cognitive,I,193.33980814543102,26.360963691164635,5.002625053052732,5.935383890905322
3,Social,B,200.85547524968783,41.0057981873951,2.969464665176541,8.203848193589767
4,Clinical,L,268.17852586060314,10.459042327914005,4.2897504385338285,7.104568886609698
5,Developmental,C,202.21136003010065,32.57254333963236,4.2319190422030895,7.731109976814783
6,Cognitive Neuroscience,J,219.2559966846631,32.8775362923047,3.354543227054813,5.947971481894402
7,Social,E,184.4071723458791,38.265547153519314,2.4981632751601,6.561974342597634
8,Cognitive,A,204.43009795005375,38.15477825644966,3.801116342341817,7.299843895689202
9,Developmental,B,169.5203401798722,19.008385654859918,2.950012597653458,7.257781957886327
10,Cognitive,L,237.64584902104482,34.813002002877084,3.7311116833042046,5.980752598492469
11,Cognitive,H,195.29129369910822,15.618710297474614,4.061130859415534,6.840639971184431
12,Cognitive Neuroscience,E,215.71692101683726,44.80842969136552,2.9263499207860084,7.046019290153038
13,Social,H,228.84913691841496,39.1574869167513,2.6904647311579972,7.377491510589526
14,Clinical,I,228.14291908138972,42.216144325556286,4.943519670796176,6.9829110279385365
15,Clinical,C,243.52202383406683,29.667519451267292,3.6396086872438005,4.980343628010685
16,Cognitive Neuroscience,F,236.666670364528,33.52592552102829,4.867212098289338,6.86819554522624
17,Clinical,K,302.5650735213732,30.4601442866524,6.06121567074244,6.603300141527215
18,Cognitive,B,214.35894896331044,39.98228401685214,3.8288879234231197,6.570731870887857
19,Social,I,173.84123099131773,46.123190421811515,2.107095735276987,7.669076016456312
20,Social,G,198.48464628660943,34.40124455611438,3.100171128027946,5.63019221525334
